drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:134761', 'CHEBI:88839']",UMLS:C0856716,0,[],UMLS:C0856716,missing_disease
"['CHEBI:134813', 'CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",HP:0002829,1,['CHEBI:36773'],,missing_drug
"['CHEBI:134813', 'CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",HP:0003419,1,['CHEBI:36773'],,missing_drug
"['CHEBI:134813', 'CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",UMLS:C0009938,1,['CHEBI:36773'],,missing_drug
"['CHEBI:134813', 'CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",UMLS:C0038045,1,['CHEBI:36773'],,missing_drug
"['CHEBI:134813', 'CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",UMLS:C0410256,1,['CHEBI:36773'],,missing_drug
"['CHEBI:134813', 'CHEBI:15882', 'DRUGBANK:DB11338']",NCIT:C78640,1,[],NCIT:C78640,missing_disease
"['CHEBI:134813', 'CHEBI:52010', 'CHEBI:8093']",MONDO:0003014,1,['CHEBI:52010'],,missing_drug
"['CHEBI:134813', 'CHEBI:52010', 'CHEBI:8093']",MONDO:0005324,1,['CHEBI:52010'],,missing_drug
"['CHEBI:134813', 'CHEBI:52010', 'CHEBI:8093']",MONDO:0005709,1,['CHEBI:52010'],,missing_drug
"['CHEBI:134813', 'CHEBI:52010', 'CHEBI:8093']",MONDO:0005961,1,['CHEBI:52010'],,missing_drug
"['CHEBI:134813', 'CHEBI:52010', 'CHEBI:8093']",UMLS:C2317131,1,['CHEBI:52010'],UMLS:C2317131,missing_drug+missing_disease
"['CHEBI:134817', 'CHEBI:2659', 'CHEBI:52010', 'CHEBI:73237']",HP:0012735,1,['CHEBI:52010'],,missing_drug
"['CHEBI:134817', 'CHEBI:2659', 'CHEBI:52010', 'CHEBI:73237']",MONDO:0004979,1,['CHEBI:52010'],,missing_drug
"['CHEBI:134817', 'CHEBI:2659', 'CHEBI:52010', 'CHEBI:73237']",MONDO:0005709,1,['CHEBI:52010'],,missing_drug
"['CHEBI:134850', 'CHEBI:17439']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:17439']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134850', 'CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",HP:0003419,1,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",MONDO:0002122,1,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",MONDO:0006960,1,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",UMLS:C0543612,1,['CHEBI:41879'],UMLS:C0543612,missing_drug+missing_disease
"['CHEBI:134850', 'CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",UMLS:C3495832,1,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:31749']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
