condition_id_norm,label,drug_set
MONDO:0003781,1,"['CHEBI:113556', 'CHEBI:4470', 'CHEBI:52010']"
MONDO:0005709,1,"['CHEBI:113556', 'CHEBI:4470', 'CHEBI:52010']"
UMLS:C5395609,1,"['CHEBI:114785', 'CHEBI:175901']"
UMLS:C3266992,1,"['CHEBI:114785', 'UNII:2S9ZZM9Q9V']"
MONDO:0012315,1,"['CHEBI:114785', 'UNII:D99YVK4L0X']"
UMLS:C3888903,1,"['CHEBI:114785', 'UNII:D99YVK4L0X']"
HP:0002153,0,"['CHEBI:114786', 'CHEBI:131527']"
HP:0100520,0,"['CHEBI:114786', 'CHEBI:131527']"
MONDO:0000465,0,"['CHEBI:114786', 'CHEBI:131527']"
MONDO:0001106,0,"['CHEBI:114786', 'CHEBI:131527']"
MONDO:0001220,0,"['CHEBI:114786', 'CHEBI:131527']"
MONDO:0002476,0,"['CHEBI:114786', 'CHEBI:131527']"
MONDO:0018542,0,"['CHEBI:114786', 'CHEBI:131527']"
UMLS:C0040793,0,"['CHEBI:114786', 'CHEBI:131527']"
HP:0001944,1,"['CHEBI:114786', 'CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:32954']"
MONDO:0000440,1,"['CHEBI:114786', 'CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:32954']"
MONDO:0006919,1,"['CHEBI:114786', 'CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:32954']"
HP:0002153,0,"['CHEBI:114786', 'CHEBI:17234']"
HP:0100520,0,"['CHEBI:114786', 'CHEBI:17234']"
MONDO:0000465,0,"['CHEBI:114786', 'CHEBI:17234']"
MONDO:0001106,0,"['CHEBI:114786', 'CHEBI:17234']"
MONDO:0001220,0,"['CHEBI:114786', 'CHEBI:17234']"
MONDO:0002476,0,"['CHEBI:114786', 'CHEBI:17234']"
MONDO:0018542,0,"['CHEBI:114786', 'CHEBI:17234']"
UMLS:C0040793,0,"['CHEBI:114786', 'CHEBI:17234']"
