drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:135611', 'CHEBI:36560', 'CHEBI:39561']",UMLS:C0086196,1,[],UMLS:C0086196,missing_disease
"['CHEBI:135611', 'CHEBI:39561']",UMLS:C0043255,1,[],UMLS:C0043255,missing_disease
"['CHEBI:135611', 'CHEBI:41872']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:135642', 'CHEBI:31498']",NCIT:C78213,1,[],NCIT:C78213,missing_disease
"['CHEBI:135735', 'CHEBI:135849']",UMLS:C1802373,0,[],UMLS:C1802373,missing_disease
"['CHEBI:135735', 'CHEBI:135849']",UMLS:C1998297,0,[],UMLS:C1998297,missing_disease
"['CHEBI:135735', 'CHEBI:135849']",UMLS:C2585811,0,[],UMLS:C2585811,missing_disease
"['CHEBI:135735', 'CHEBI:135849']",UMLS:C4708664,0,[],UMLS:C4708664,missing_disease
"['CHEBI:135735', 'CHEBI:601027']",UMLS:C1802373,0,[],UMLS:C1802373,missing_disease
"['CHEBI:135780', 'CHEBI:49575']",UMLS:C4728126,1,[],UMLS:C4728126,missing_disease
"['CHEBI:136014', 'CHEBI:16236']",MONDO:0005113,1,['CHEBI:136014'],,missing_drug
"['CHEBI:140618', 'CHEBI:36560', 'UNII:8P5F881OCY']",MONDO:0004605,1,['CHEBI:140618'],,missing_drug
"['CHEBI:140618', 'CHEBI:36560', 'UNII:8P5F881OCY']",MONDO:0004646,1,['CHEBI:140618'],MONDO:0004646,missing_drug+missing_disease
"['CHEBI:142773', 'CHEBI:50838']",UMLS:C0337664,0,[],UMLS:C0337664,missing_disease
"['CHEBI:142773', 'CHEBI:50838']",UniProtKB:A0A4X1SKS6,0,[],UniProtKB:A0A4X1SKS6,missing_disease
"['CHEBI:15365', 'CHEBI:27732', 'CHEBI:46195']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15365', 'CHEBI:27732', 'CHEBI:46195']",UMLS:C1698508,1,[],UMLS:C1698508,missing_disease
"['CHEBI:15365', 'CHEBI:30769', 'CHEBI:32139']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15365', 'CHEBI:38545']",UMLS:C1996962,1,[],UMLS:C1996962,missing_disease
"['CHEBI:15365', 'CHEBI:50690']",UMLS:C0919822,1,[],UMLS:C0919822,missing_disease
"['CHEBI:15365', 'CHEBI:50690']",UMLS:C4324389,1,[],UMLS:C4324389,missing_disease
"['CHEBI:15365', 'CHEBI:51173']",UMLS:C0852402,1,['CHEBI:51173'],UMLS:C0852402,missing_drug+missing_disease
"['CHEBI:15365', 'CHEBI:51209']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15365', 'CHEBI:51209']",UMLS:C0948780,1,[],UMLS:C0948780,missing_disease
"['CHEBI:15365', 'CHEBI:6761']",HP:0012531,1,['CHEBI:6761'],,missing_drug
"['CHEBI:15365', 'CHEBI:9588']",UMLS:C3889030,1,[],UMLS:C3889030,missing_disease
"['CHEBI:15366', 'CHEBI:15366', 'CHEBI:30136', 'UNII:80EHD8I43D']",UMLS:C0740437,1,[],UMLS:C0740437,missing_disease
"['CHEBI:15366', 'CHEBI:17650']",UMLS:C0740437,1,[],UMLS:C0740437,missing_disease
"['CHEBI:15367', 'CHEBI:16199']",UMLS:C0851421,1,[],UMLS:C0851421,missing_disease
"['CHEBI:15377', 'CHEBI:26710', 'CHEBI:33353', 'CHEBI:75215']",MONDO:0006007,1,['CHEBI:15377'],MONDO:0006007,missing_drug+missing_disease
"['CHEBI:15377', 'CHEBI:26710', 'CHEBI:33353', 'CHEBI:75215']",MONDO:0007955,1,['CHEBI:15377'],MONDO:0007955,missing_drug+missing_disease
"['CHEBI:15407', 'CHEBI:15409', 'CHEBI:31292', 'CHEBI:3614', 'CHEBI:36560', 'CHEBI:9468', 'UNII:FGL8577C9S']",MONDO:0004872,1,['UNII:FGL8577C9S'],,missing_drug
"['CHEBI:15407', 'CHEBI:46195', 'CHEBI:52010', 'CHEBI:5551']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15409', 'CHEBI:31206', 'CHEBI:4636']",UMLS:C0264222,1,[],UMLS:C0264222,missing_disease
"['CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773', 'UNII:2R04ONI662']",UMLS:C2609048,1,[],UMLS:C2609048,missing_disease
"['CHEBI:15409', 'CHEBI:33130', 'UNII:FML8G1U0Y3']",NCIT:C78213,1,[],NCIT:C78213,missing_disease
"['CHEBI:15409', 'CHEBI:3374', 'CHEBI:36773', 'CHEBI:88839']",UMLS:C0877023,1,[],UMLS:C0877023,missing_disease
"['CHEBI:15409', 'CHEBI:8378', 'UNII:5EL163606Q', 'UNII:NQ14646378']",UMLS:C4286025,1,[],UMLS:C4286025,missing_disease
"['CHEBI:15409', 'DRUGBANK:DB11338', 'UNII:2R04ONI662']",UMLS:C0278138,1,[],UMLS:C0278138,missing_disease
"['CHEBI:15603', 'CHEBI:16414', 'CHEBI:17191']",HP:0003073,1,[],HP:0003073,missing_disease
"['CHEBI:15603', 'CHEBI:16414', 'CHEBI:17191']",UMLS:C0393642,1,[],UMLS:C0393642,missing_disease
"['CHEBI:15603', 'CHEBI:16414', 'CHEBI:17191']",UMLS:C1704207,1,[],UMLS:C1704207,missing_disease
"['CHEBI:15640', 'CHEBI:15641', 'CHEBI:15908', 'CHEBI:16238', 'CHEBI:16908', 'CHEBI:17750', 'CHEBI:18303', 'CHEBI:18405', 'CHEBI:18408', 'CHEBI:185218', 'CHEBI:27470', 'UNII:0N1G678593', 'UNII:8B4OP7RK5N', 'UNII:9TI35313XW']",MONDO:0004574,1,"['UNII:0N1G678593', 'UNII:8B4OP7RK5N']",,missing_drug
"['CHEBI:15640', 'CHEBI:15641', 'CHEBI:15908', 'CHEBI:16238', 'CHEBI:16908', 'CHEBI:17750', 'CHEBI:18303', 'CHEBI:18405', 'CHEBI:18408', 'CHEBI:185218', 'CHEBI:27470', 'UNII:0N1G678593', 'UNII:8B4OP7RK5N', 'UNII:9TI35313XW']",MONDO:0008228,1,"['UNII:0N1G678593', 'UNII:8B4OP7RK5N']",,missing_drug
"['CHEBI:15640', 'CHEBI:29034']",UMLS:C0156847,1,[],UMLS:C0156847,missing_disease
"['CHEBI:15640', 'CHEBI:29034']",UMLS:C0271930,1,[],UMLS:C0271930,missing_disease
"['CHEBI:15676', 'CHEBI:17754', 'DRUGBANK:DB14139']",HP:0030161,1,['DRUGBANK:DB14139'],,missing_drug
